1．	被判处拘役的犯罪分子，在执行期间参加劳动的，不得领取任何报酬。
2．	我国法律规定，共同犯罪是指三人以上共同故意犯罪。
3．	具有社会危害性的行为都构成犯罪。
4．	对于累犯，不适用减刑。
5．	惩罚犯罪是刑法的手段，保护人民是刑法的最终目的。
6．	危害公共安全罪的犯罪主观方面既有故意、也有过失。
7．	我国刑法规定的自然人负刑事责任的最低年龄是已满14岁。
8．	依照我国刑法的规定，刑罚包括主刑和附加刑两种，剥夺政治权利属于主刑。
9．	在我国，已满16周岁的人犯罪，应当负刑事责任，16周岁称为完全刑事责任年龄。
10．	不满14周岁的人实施放火行为的构成放火罪，应负刑事责任。
11．	我国刑法规定，已满14周岁不满18周岁的人犯罪应当减轻或者免除处罚。
12．	刑事责任指行为人因违反行政法规定或因行政法规定而应承担的法律责任。
13．	我国的法律规定判处无期徒刑的，减刑后实际执行的刑期不能少于5年。
14．	由于过失危害公共生产、生活安全行为可判为危害公共安全罪。
15．	王某在实施盗窃时，因未撬开防盗门而最终放弃，王某的行为属于犯罪未遂。
16．	甲因抢劫被公安机关抓获。在审讯中，甲主动供述了自己一年前曾盗窃一辆汽车。甲供述自己曾盗窃汽车的行为属于立功行为。
17．	违法行为不一定犯罪，犯罪一定违法。
18．	李某在山上劳作，遇到邻村的妇女王某路过，便拿着镰刀欲对王某实施抢劫，不料被王某夺下镰刀，向其头上猛砍一刀，当即将李某杀死。王某的行为属于正当防卫。
19．	爆炸罪与采用爆炸手段实施的杀人罪之间的区别是行为是否足以危害公共安全。
20．	犯罪中止是指犯罪过程中，行为人自动放弃犯罪或自动有效地防止犯罪结果发生，而未完成犯罪的一种犯罪停止形态。
21．	自然人的刑事责任能力是指自然人能够辨认和控制自己的行为，从而对自己实施的危害社会行为承担刑事责任的能力。
22．	死刑缓期执行考验期内，如果没有故意犯罪，2年期满后，减为15年以上20年以下有期徒刑。
23．	对于累犯和犯罪集团的首要分子，不适用缓刑。
24．	在道路上醉酒驾驶机动车的，处拘役并处罚金。
25．	某民政局副局长挪用救灾款3万元供其孩子出国留学，这属于挪用公款罪。
26．	醉酒的人犯罪，造成严重后果的才负刑事责任。
27．	在我国法律没有明文规定的犯罪行为，人民法院可以比照类似的条文定罪。
28．	为谋取不正当利益，张某暗中给予某公司200万元回扣，则张某的行为属于行贿罪而非向单位行贿罪。
29．	军人违反职责属于我国刑法的犯罪种类。
30．	挪用公款归个人使用，进行非法活动的，可构成挪用公款罪。
